dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_predicted_phi5,1,250,5,raw_x_s,econml_dml,predicted,none,0.1282249689102172,0.1099944196025189,0.1001785936098114,True,236,0.08496582,0.13391817,0.1099944196025189,0.6100845202743532,0.6042927710593127,4.51240314185381,0.1566305786286136,0.2111776937327288,0.2347975227783839
semisynthetic_predicted_phi5,1,500,5,encoder_pred,econml_dml,predicted,none,0.0834414362907409,0.0400870585401266,0.0353182248870531,True,5,0.08496582,0.13391817,0.0400870585401266,0.0867745599835922,0.1437315155077752,1.0732786709060853,0.2934100359522236,0.5316761090106231,0.3809983639275371
semisynthetic_predicted_phi5,1,500,5,mi_mine_cond,econml_dml,predicted,none,0.0834414362907409,0.0447875904522595,0.0386510243438864,True,5,0.08496582,0.13391817,0.0447875904522595,0.0683081250980311,0.1308091627128907,0.9767842758969209,0.3882576554328053,0.5886745688824243,0.3784142884036126
semisynthetic_predicted_phi5,1,500,5,mi_infonce_cond,econml_dml,predicted,none,0.0834414362907409,0.0403673537222201,0.033786551482707,True,5,0.08496582,0.13391817,0.0403673537222201,0.0875717340013151,0.1387223856554375,1.035874263032698,0.3559175065753132,0.5700076707061673,0.3888606551775042
semisynthetic_predicted_phi5,1,500,5,autoencoder,econml_dml,predicted,none,0.0834414362907409,0.0293437986926619,0.0251997255734711,True,5,0.08496582,0.13391817,0.0293437986926619,0.0480607912683668,0.1473733873781774,1.1004734262585685,0.1257578596952406,0.2336066977921108,0.1912785700338871
semisynthetic_predicted_phi5,1,500,5,pls,econml_dml,predicted,none,0.0834414362907409,0.0073416354601747,0.0069815137578112,True,5,0.08496582,0.13391817,0.0073416354601747,0.0683465932361319,0.1551852251054803,1.1588063449902304,0.2484686000222478,0.4158563598526761,0.3704661123507334
semisynthetic_predicted_phi5,1,500,5,pca,econml_dml,predicted,none,0.0834414362907409,0.0436869815183628,0.0444651192618127,True,5,0.08496582,0.13391817,0.0436869815183628,0.0436998681298636,0.1386047716530761,1.0349960102731104,0.1996181681558305,0.4476973625027516,0.3519397693841092
semisynthetic_predicted_phi5,1,500,5,ica,econml_dml,predicted,none,0.0834414362907409,0.0256406481696807,0.0272752627856089,True,5,0.08496582,0.13391817,0.0256406481696807,0.0753105713611663,0.1549333354819247,1.1569254230544272,0.1547225812170814,0.3358618770693709,0.3363753290089895
semisynthetic_predicted_phi5,1,500,5,raw_x,econml_dml,predicted,none,0.0834414362907409,-0.0092291430000486,-0.0072155851973412,True,254,0.08496582,0.13391817,-0.0092291430000486,0.2271274311269746,0.2767310421716517,2.0664189345751343,0.0298122247963158,0.0195746077957816,0.1863833344635993
semisynthetic_predicted_phi5,1,500,5,raw_x_s,econml_dml,predicted,none,0.0834414362907409,0.0208619320187594,0.0390966341007098,True,254,0.08496582,0.13391817,0.0208619320187594,0.4472986796523135,0.4575726185700333,3.416807581600266,0.1063980723119347,0.1029749235966224,0.2872536481139086
semisynthetic_predicted_phi5,1,750,5,encoder_pred,econml_dml,predicted,none,0.0584897398948669,0.0158489683271644,0.0142651190002713,True,5,0.08496582,0.13391817,0.0158489683271644,0.0436244517006491,0.1433764122322031,1.070627027177889,0.3472644037212101,0.6144432426429591,0.3681961109445349
semisynthetic_predicted_phi5,1,750,5,mi_mine_cond,econml_dml,predicted,none,0.0584897398948669,0.0180162697431323,0.0161737744453307,True,5,0.08496582,0.13391817,0.0180162697431323,0.0447664423196638,0.1383895140383352,1.0333886285806864,0.4394210958629241,0.6603563200912563,0.5083972379579514
semisynthetic_predicted_phi5,1,750,5,mi_infonce_cond,econml_dml,predicted,none,0.0584897398948669,0.0351151005662909,0.0343588886197809,True,5,0.08496582,0.13391817,0.0351151005662909,0.0480685873799025,0.1383459628332615,1.033063420992547,0.2788573427610248,0.4707221199679429,0.3210387476225187
semisynthetic_predicted_phi5,1,750,5,autoencoder,econml_dml,predicted,none,0.0584897398948669,0.0548059325430815,0.0504507342124134,True,5,0.08496582,0.13391817,0.0548059325430815,0.0571899082355304,0.1393204038888656,1.0403398126547398,0.176543051529852,0.3927553992157149,0.2715558880985762
semisynthetic_predicted_phi5,1,750,5,pls,econml_dml,predicted,none,0.0584897398948669,0.0306656413648287,0.0306608042366885,True,5,0.08496582,0.13391817,0.0306656413648287,0.0514094980183746,0.1443968081711246,1.0782465752864203,0.1942783208075858,0.208172483899128,0.2779988999478052
semisynthetic_predicted_phi5,1,750,5,pca,econml_dml,predicted,none,0.0584897398948669,0.0481729171218224,0.0457414384935208,True,5,0.08496582,0.13391817,0.0481729171218224,0.0638723947303863,0.1501370763179584,1.1211105731056397,0.0483028549466361,0.1241566439466518,0.0995337479212987
semisynthetic_predicted_phi5,1,750,5,ica,econml_dml,predicted,none,0.0584897398948669,0.0319866237720775,0.0293383337100459,True,5,0.08496582,0.13391817,0.0319866237720775,0.0432489087476442,0.1458201397891723,1.088874943476097,0.1163560301829573,0.3142055695741925,0.1725742142969194
semisynthetic_predicted_phi5,1,750,5,raw_x,econml_dml,predicted,none,0.0584897398948669,0.011010842108232,0.0047820405791624,True,279,0.08496582,0.13391817,0.011010842108232,0.1746749719488306,0.2288319839146693,1.7087448545232458,0.0331453617019136,0.1060004366311642,0.1456005724420309
semisynthetic_predicted_phi5,1,750,5,raw_x_s,econml_dml,predicted,none,0.0584897398948669,0.0704969990094132,0.0507423949633511,True,279,0.08496582,0.13391817,0.0704969990094132,0.3148629995078425,0.3208528001064905,2.3958869816283372,0.1699906719004621,0.2390615025489944,0.2723484066337553
semisynthetic_predicted_phi5,1,1000,5,encoder_pred,econml_dml,predicted,none,0.0511506795883178,0.0215904427955674,0.0177690857050537,True,5,0.08496582,0.13391817,0.0215904427955674,0.0639355379981331,0.1328857817181559,0.9922909021095192,0.4893429184404988,0.6754874099771271,0.6173693293278864
semisynthetic_predicted_phi5,1,1000,5,mi_mine_cond,econml_dml,predicted,none,0.0511506795883178,0.0230117000143598,0.0202872829508896,True,5,0.08496582,0.13391817,0.0230117000143598,0.0816578963654768,0.1378379880472919,1.029270247997654,0.4316725303312103,0.6381020147373234,0.5551422220955238
semisynthetic_predicted_phi5,1,1000,5,mi_infonce_cond,econml_dml,predicted,none,0.0511506795883178,0.0295558905856172,0.0288805201375245,True,5,0.08496582,0.13391817,0.0295558905856172,0.0536745392290003,0.1409961543792144,1.0528530548111164,0.2786156127392754,0.4286087688323492,0.3406716832420483
semisynthetic_predicted_phi5,1,1000,5,autoencoder,econml_dml,predicted,none,0.0511506795883178,0.0436284048728338,0.0428488634041085,True,5,0.08496582,0.13391817,0.0436284048728338,0.0330002353508146,0.137096659258202,1.0237345631156851,0.219080477462643,0.47314932837273,0.2732836921374676
semisynthetic_predicted_phi5,1,1000,5,pls,econml_dml,predicted,none,0.0511506795883178,-0.0073962063947737,-0.0081733330723575,True,5,0.08496582,0.13391817,-0.0073962063947737,0.0419160013817027,0.1558486667839775,1.1637604276102154,0.350324512529799,0.6689210872924565,0.5079858497520027
semisynthetic_predicted_phi5,1,1000,5,pca,econml_dml,predicted,none,0.0511506795883178,0.0188059033181264,0.017116150227735,True,5,0.08496582,0.13391817,0.0188059033181264,0.0409985891161165,0.1458135530796627,1.088825758891887,0.2486589043536349,0.4546171525196761,0.3649518455471487
semisynthetic_predicted_phi5,1,1000,5,ica,econml_dml,predicted,none,0.0511506795883178,0.0209787350838517,0.0195968781659261,True,5,0.08496582,0.13391817,0.0209787350838517,0.0314258602845549,0.1435987364845755,1.0722871771961606,0.2845922680773831,0.525025961404776,0.3602145058837531
semisynthetic_predicted_phi5,1,1000,5,raw_x,econml_dml,predicted,none,0.0511506795883178,-0.0013172186978586,0.001154165177479,True,272,0.08496582,0.13391817,-0.0013172186978586,0.1413121940747064,0.2095737246076747,1.5649386831351917,0.0376983562300153,0.0907813114354329,0.1738658556674836
semisynthetic_predicted_phi5,1,1000,5,raw_x_s,econml_dml,predicted,none,0.0511506795883178,0.0264040780805934,0.0290178336740198,True,272,0.08496582,0.13391817,0.0264040780805934,0.245856829367852,0.2667263797890259,1.991711653385242,0.161978282551145,0.2061253830310334,0.3360786300475448
semisynthetic_predicted_phi5,2,100,5,encoder_pred,econml_dml,predicted,none,0.0260103940963745,0.0166042097424839,0.0099189932884846,True,5,0.084778905,0.1312038,0.0166042097424839,0.1077889231590855,0.1658560277089684,1.264109939719493,0.2111555179077059,0.3579325568589958,0.2961936735423165
semisynthetic_predicted_phi5,2,100,5,mi_mine_cond,econml_dml,predicted,none,0.0260103940963745,0.0524381632667638,0.056580401405678,True,5,0.084778905,0.1312038,0.0524381632667638,0.0550335311752127,0.1281990793425886,0.9770988290170608,0.3361244684969816,0.5055702056485681,0.3270285047946843
semisynthetic_predicted_phi5,2,100,5,mi_infonce_cond,econml_dml,predicted,none,0.0260103940963745,0.0433471266072268,0.0354629778203045,True,5,0.084778905,0.1312038,0.0433471266072268,0.1484379146719066,0.1726339034296268,1.3157690816091212,0.2865731663910879,0.3492814871362336,0.4101443375973647
