dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_true_phi5,0,1000,5,mi_mine_cond,econml_dml,True,none,0.1022775173187255,0.1211540048562154,0.1136108457468655,True,5,0.08481841,0.13307382,0.1211540048562154,0.1052881232899018,0.141767347578232,1.0653285958551286,0.3574498387307314,0.5857047134825554,0.5643723897920239
semisynthetic_true_phi5,0,1000,5,mi_infonce_cond,econml_dml,True,none,0.1022775173187255,0.1014079394456368,0.10320266364824,True,5,0.08481841,0.13307382,0.1014079394456368,0.0630390839813682,0.1269261982615979,0.9538029093521684,0.3485292739950139,0.4857850861856677,0.4172756040394161
semisynthetic_true_phi5,0,1000,5,autoencoder,econml_dml,True,none,0.1022775173187255,0.0732272788110544,0.0738712520855884,True,5,0.08481841,0.13307382,0.0732272788110544,0.0594355551470642,0.1445231205856267,1.086037199342565,0.0308907167196464,0.2502834825573818,0.1521983564075778
semisynthetic_true_phi5,0,1000,5,pls,econml_dml,True,none,0.1022775173187255,0.0746677528740327,0.0730654300668974,True,5,0.08481841,0.13307382,0.0746677528740327,0.0470265930850995,0.1282825521158043,0.9639954012882046,0.2849760370013565,0.4500105445398318,0.4121103045080984
semisynthetic_true_phi5,0,1000,5,pca,econml_dml,True,none,0.1022775173187255,0.1055002132454572,0.105253206331687,True,5,0.08481841,0.13307382,0.1055002132454572,0.0621841356559308,0.1443419185836683,1.084675534067662,0.0706129894844699,0.3607408385365194,0.1681560670450174
semisynthetic_true_phi5,0,1000,5,ica,econml_dml,True,none,0.1022775173187255,0.1068744369402398,0.1065273746898255,True,5,0.08481841,0.13307382,0.1068744369402398,0.0582737865711357,0.145193355359183,1.0910737629970555,0.0328725278252933,0.2664496177230955,0.1484857459087872
semisynthetic_true_phi5,0,1000,5,raw_x,econml_dml,True,none,0.1022775173187255,0.126065603394044,0.0923465948648639,True,284,0.08481841,0.13307382,0.126065603394044,0.4714191608040032,0.4686175275411054,3.521485455830899,0.1756923660063989,0.251749749460304,0.2964388699114798
semisynthetic_true_phi5,1,100,5,encoder_pred,econml_dml,True,none,0.0156062245368957,0.0172036160814819,0.0182629916046028,True,5,0.08496582,0.13391817,0.0172036160814819,0.174413027515587,0.1796347699316068,1.3413771639928505,0.4426291913613783,0.6369130604777108,0.5729234152990366
semisynthetic_true_phi5,1,100,5,mi_mine_cond,econml_dml,True,none,0.0156062245368957,0.0474734784415157,0.0462742432635788,True,5,0.08496582,0.13391817,0.0474734784415157,0.0974746895530692,0.130534188685845,0.9747310049729868,0.452053937932206,0.6786399351553363,0.5199730559553695
semisynthetic_true_phi5,1,100,5,mi_infonce_cond,econml_dml,True,none,0.0156062245368957,0.0192959305142778,0.0281386187071301,True,5,0.08496582,0.13391817,0.0192959305142778,0.1004339491285895,0.1503290612466493,1.1225442040954117,0.3618888818202271,0.4200310037044329,0.5162947419771124
semisynthetic_true_phi5,1,100,5,autoencoder,econml_dml,True,none,0.0156062245368957,0.0073661390527,-0.0105257414457015,True,5,0.08496582,0.13391817,0.0073661390527,0.2111756485421954,0.2428498376467365,1.813419677174576,0.169285879353312,0.2820808837216431,0.2273111427042396
semisynthetic_true_phi5,1,100,5,pls,econml_dml,True,none,0.0156062245368957,-0.023518538185967,-0.0247026843376657,True,5,0.08496582,0.13391817,-0.023518538185967,0.1397197242150973,0.1892252612262021,1.4129917295858057,0.3585678328224623,0.5731254438477474,0.4798857296090731
